,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category,node_ids,Score,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,priv_bath,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,hrt_a few days or more,hrt_within a day,hrt_within a few hours,hrt_within an hour,rt_Entire home/apt,rt_Hotel room,rt_Private room,rt_Shared room,pt_Apartment,pt_House,pt_Other,pt_Room
1319,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,10308285,53039258,within a day,1.0,1.0,0,2,5,1,51.04152,3.72741,Other,Entire home/apt,4,1.0,1.0,1,2.0,130.0,4,365,50,16,0,2018-01-13,4.63,4.75,4.88,4.93,4.93,4.73,4.6,1,0.34,0,1,0,0,1,0,0,0,0,0,1,0
1320,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,10325779,53135103,within an hour,1.0,0.99,1,3,5,1,51.0579,3.72054,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,76.0,1,1125,75,411,69,2021-07-02,4.9,4.94,4.9,4.95,4.96,4.97,4.87,1,6.23,0,0,0,1,1,0,0,0,1,0,0,0
1321,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,11308674,28517059,within an hour,1.0,1.0,1,1,8,1,51.0564,3.7231,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,127.0,1,60,65,84,84,2021-07-04,4.94,4.98,4.96,4.99,4.9,4.94,4.76,1,8.63,0,0,0,1,1,0,0,0,1,0,0,0
1322,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,11855537,63191355,within an hour,1.0,1.0,0,1,8,1,51.05593,3.72656,House,Entire home/apt,4,1.0,2.0,2,2.0,109.0,3,120,57,57,9,2021-05-10,4.67,4.82,4.58,4.88,4.89,4.96,4.73,1,1.12,0,0,0,1,1,0,0,0,0,1,0,0
1323,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,12103538,64426079,within an hour,1.0,1.0,1,2,5,1,51.05424,3.72308,Other,Entire home/apt,6,1.0,1.0,3,5.0,270.0,2,1125,46,91,6,2019-07-09,4.96,4.98,4.97,4.89,4.99,4.99,4.76,1,1.44,0,0,0,1,1,0,0,0,0,0,1,0
1324,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,12139439,15903511,within a few hours,1.0,0.84,1,3,6,1,51.04773,3.72394,Room,Private room,2,1.0,1.0,1,0.0,97.0,2,1125,88,102,2,2019-07-07,4.78,4.8,4.9,4.92,4.9,4.85,4.56,0,1.62,0,0,1,0,0,0,1,0,0,0,0,1
1325,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,13704632,15300260,within an hour,1.0,1.0,1,4,6,1,51.05115,3.73138,House,Entire home/apt,3,1.0,1.0,1,1.0,77.0,2,365,33,239,24,2021-03-12,4.68,4.79,4.82,4.87,4.9,4.94,4.69,1,3.94,0,0,0,1,1,0,0,0,0,1,0,0
1326,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,14466061,89142902,within an hour,1.0,0.95,1,1,8,1,51.04075,3.72252,Room,Private room,2,1.0,1.5,1,0.0,48.0,1,1125,68,422,13,2020-03-08,4.73,4.87,4.85,4.94,4.93,4.76,4.76,0,7.18,0,0,0,1,0,0,1,0,0,0,0,1
1327,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,15158816,96173226,within a day,1.0,1.0,0,1,3,0,51.0564,3.72097,Other,Entire home/apt,2,1.0,1.0,1,1.0,140.0,2,1125,54,5,0,2016-11-20,4.67,4.67,4.33,4.33,4.33,5.0,4.0,0,0.12,0,1,0,0,1,0,0,0,0,0,1,0
1328,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,15660061,101087428,within an hour,1.0,1.0,1,1,6,1,51.05361,3.72425,Apartment,Entire home/apt,4,1.0,1.0,1,2.0,99.0,2,45,41,261,14,2020-03-06,4.93,4.96,4.91,4.95,4.96,5.0,4.88,1,4.55,0,0,0,1,1,0,0,0,1,0,0,0
